Nome: v | Tempo: 12.21 segundos
Nome: pot | Tempo: 12.24 segundos
Nome: cv | Tempo: 14.40 segundos
Nome: manuelaaaaaa | Tempo: 15.07 segundos
Nome: vavav | Tempo: 17.48 segundos
Nome: bababab | Tempo: 21.54 segundos
Nome: manuela | Tempo: 27.34 segundos
Nome: manu | Tempo: 35.80 segundos
Nome: maaaa | Tempo: 36.75 segundos
Nome: maaaaaaaa | Tempo: 36.75 segundos
Nome: natacha | Tempo: 40.43 segundos
